sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
73__73B__RDC__2.0__48H,73B.R2.48H,73,73B,RDC,48H,control,1095713000.0,57963.0
73__73B__SDC__1.0__0H,73B.S1.0H,73,73B,SDC,0H,control,57908430.0,53654.0
73__73B__SDC__1.0__48H,73B.S1.48H,73,73B,SDC,48H,control,2039735638.0,64506.0
73__73B__SDC__2.0__0H,73B.S2.0H,73,73B,SDC,0H,control,53593430.0,49271.0
73__73B__SDC__2.0__48H,73B.S2.48H,73,73B,SDC,48H,control,3116705025.0,39807.0
84__84A__No Added Carb__1.0__48H,84A.NC.48H,84,84A,No Added Carb,48H,control,792022957.0,63964.0
84__84A__RDC__1.0__0H,84A.R1.0H,84,84A,RDC,0H,control,585259088.0,62425.0
84__84A__RDC__1.0__48H,84A.R1.48H,84,84A,RDC,48H,control,3209975601.0,66345.0
84__84A__RDC__2.0__0H,84A.R2.0H,84,84A,RDC,0H,control,759502672.0,69568.0
84__84A__RDC__2.0__48H,84A.R2.48H,84,84A,RDC,48H,control,3155311185.0,57149.0
84__84A__SDC__1.0__0H,84A.S1.0H,84,84A,SDC,0H,control,220225709.0,47796.0
84__84A__SDC__1.0__48H,84A.S1.48H,84,84A,SDC,48H,control,5950707744.0,56583.0
84__84A__SDC__2.0__0H,84A.S2.0H,84,84A,SDC,0H,control,1078596034.0,44743.0
84__84A__SDC__2.0__48H,84A.S2.48H,84,84A,SDC,48H,control,13136439622.0,49432.0
84__84B__No Added Carb__1.0__0H,84B.NC.0H,84,84B,No Added Carb,0H,control,29475742.0,38071.0
84__84B__No Added Carb__1.0__48H,84B.NC.48H,84,84B,No Added Carb,48H,control,6551578611.0,49618.0
84__84B__RDC__1.0__0H,84B.R1.0H,84,84B,RDC,0H,control,436750725.0,50834.0
84__84B__RDC__1.0__48H,84B.R1.48H,84,84B,RDC,48H,control,7516743486.0,53584.0
